Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Untitled,Success,1,0,2016-05-24 08:49:01 -0600,2016-05-24 08:49:01 -0600,0:00:00
Untitled1,Success,2,0,2016-05-23 15:46:31 -0600,2016-05-23 16:15:19 -0600,0:00:00
